time,ask,bid,ask_volume,bid_volume
2017-04-27 09:04:56.050000,1.09020,1.09015,2350000,5620000
2017-04-27 09:04:56.702000,1.09020,1.09016,1980000,1370000
2017-04-27 09:04:56.753000,1.09022,1.09018,2130000,3000000
2017-04-27 09:04:57.356000,1.09023,1.09019,2250000,2250000
2017-04-27 09:04:59.705000,1.09023,1.09018,3370000,8250000
2017-04-27 09:05:00.337000,1.09022,1.09018,1000000,2250000
2017-04-27 09:05:01.681000,1.09022,1.09019,1000000,1000000
2017-04-27 09:05:02.475000,1.09023,1.09019,2620000,3000000
2017-04-27 09:05:02.992000,1.09023,1.09020,1870000,1000000
2017-04-27 09:05:04.840000,1.09023,1.09019,2620000,1000000
2017-04-27 09:05:06.602000,1.09022,1.09019,1000000,1000000
2017-04-27 09:05:07.827000,1.09022,1.09018,1000000,1000000
2017-04-27 09:05:08.352000,1.09022,1.09019,1000000,2250000
2017-04-27 09:05:08.403000,1.09021,1.09018,9300000,1000000
2017-04-27 09:05:08.505000,1.09019,1.09016,2250000,1120000
2017-04-27 09:05:08.608000,1.09020,1.09018,1500000,1000000
2017-04-27 09:05:08.711000,1.09021,1.09018,1000000,1120000
2017-04-27 09:05:09.274000,1.09022,1.09018,1000000,1120000
2017-04-27 09:05:09.803000,1.09023,1.09019,4980000,1000000
2017-04-27 09:05:12.047000,1.09023,1.09020,1980000,1000000
2017-04-27 09:05:12.149000,1.09024,1.09021,1000000,6000000
2017-04-27 09:05:12.346000,1.09026,1.09022,1000000,1370000
2017-04-27 09:05:12.853000,1.09026,1.09022,1000000,2250000
2017-04-27 09:05:14.409000,1.09023,1.09022,1000000,1120000
2017-04-27 09:05:14.512000,1.09023,1.09020,1000000,1000000
2017-04-27 09:05:15.020000,1.09023,1.09019,1000000,4120000
2017-04-27 09:05:15.671000,1.09023,1.09020,1000000,1000000
2017-04-27 09:05:16.019000,1.09024,1.09021,3750000,5850000
2017-04-27 09:05:16.260000,1.09026,1.09022,1500000,1120000
2017-04-27 09:05:20.270000,1.09027,1.09022,9450000,2250000
